cell_id,Cycle,C_rate_mean,C_rate_max,Charge_Ah,Discharge_Ah,Coulombic_Efficiency_%,Cycle_Duration_s,Energy_Throughput_Wh,Temp_Min_C,Temp_Mean_C,Temp_Max_C,Num_points,Delta_Q
Cell_1,34,1.7706127886323273,2.404,1.122,1.114,99.28698752228165,2275.0,8.371964701861113,,,,2252,-0.015999999999999792
Cell_1,35,1.7600291479820631,2.404,1.1,1.092,99.27272727272727,2242.0,8.214762815194444,,,,2230,-0.02200000000000002
Cell_1,36,1.7492503413746017,2.404,1.082,1.073,99.16820702402957,2214.0,8.059092012222223,,,,2197,-0.019000000000000128
Cell_1,37,1.7455677345537761,2.404,1.068,1.059,99.15730337078651,2193.0,7.96773641411111,,,,2185,-0.014000000000000012
Cell_1,38,1.7342686219739296,2.404,1.043,1.034,99.13710450623203,2156.0,7.780265431055556,,,,2148,-0.02499999999999991
Cell_1,39,1.7243926886792456,2.404,1.022,1.015,99.31506849315068,2126.0,7.617996996666667,,,,2120,-0.019000000000000128
Cell_1,40,1.7213679290508155,2.404,1.007,0.998,99.10625620655414,2101.0,7.4926148012222225,,,,2086,-0.016999999999999904
Cell_1,41,1.708925217812198,2.404,0.991,0.983,99.19273461150352,2079.0,7.3911086063611116,,,,2066,-0.015000000000000013
Cell_1,42,1.7053396088019563,2.404,0.976,0.968,99.18032786885246,2057.0,7.274847802527778,,,,2045,-0.015000000000000013
Cell_1,43,1.6906912568306016,2.404,0.956,0.949,99.26778242677824,2027.0,7.119930787555555,,,,2013,-0.019000000000000017
Cell_1,44,1.6844721254355408,2.404,0.945,0.935,98.94179894179895,2009.0,7.034871046444444,,,,2009,-0.013999999999999901
Cell_1,45,1.6801173495194743,2.404,0.927,0.921,99.35275080906149,1984.0,6.906960443527778,,,,1977,-0.014000000000000012
Cell_1,46,1.664234930448223,2.404,0.902,0.895,99.22394678492239,1947.0,6.7191943239444445,,,,1941,-0.026000000000000023
Cell_1,47,1.6520644572025056,2.404,0.887,0.88,99.2108229988726,1923.0,6.603147840777779,,,,1916,-0.015000000000000013
Cell_1,48,1.6473990005260393,2.404,0.874,0.866,99.08466819221968,1904.0,6.5069729146111115,,,,1901,-0.014000000000000012
Cell_1,49,1.6407832629355863,2.404,0.868,0.861,99.19354838709677,1896.0,6.453200729166667,,,,1894,-0.0050000000000000044
Cell_1,50,1.6281451612903228,2.404,0.847,0.84,99.17355371900827,1864.0,6.305602805166668,,,,1860,-0.02100000000000002
Cell_1,51,1.6184950926935664,2.404,0.829,0.823,99.27623642943306,1837.0,6.164379858750001,,,,1834,-0.017000000000000015
Cell_1,52,1.6111485965877823,2.404,0.82,0.812,99.02439024390245,1822.0,6.084330281416667,,,,1817,-0.010999999999999899
Cell_1,53,1.6018205849268845,2.404,0.804,0.798,99.25373134328358,1801.0,5.983557394972223,,,,1778,-0.014000000000000012
Cell_1,54,1.5951207186973615,2.404,0.793,0.786,99.11727616645649,1783.0,5.9036444394166665,,,,1781,-0.01200000000000001
Cell_1,55,1.5881755681818184,2.404,0.778,0.773,99.3573264781491,1763.0,5.792491587944445,,,,1760,-0.013000000000000012
Cell_1,56,1.5778860759493676,2.404,0.767,0.76,99.08735332464146,1744.0,5.698073783111111,,,,1738,-0.013000000000000012
Cell_1,57,1.5673905342624856,2.404,0.755,0.75,99.33774834437085,1728.0,5.620373123111111,,,,1722,-0.010000000000000009
Cell_1,58,1.5564717147908076,2.404,0.738,0.733,99.32249322493224,1702.0,5.494928757555556,,,,1697,-0.017000000000000015
Cell_1,59,1.5542779097387176,2.404,0.73,0.725,99.31506849315068,1690.0,5.429864948694446,,,,1684,-0.008000000000000007
Cell_1,60,1.537426558752998,2.404,0.719,0.714,99.30458970792768,1674.0,5.3491027094722225,,,,1668,-0.01100000000000001
Cell_1,61,1.5344733978234586,2.404,0.71,0.704,99.15492957746478,1659.0,5.275228769666667,,,,1654,-0.010000000000000009
Cell_1,62,1.5243812272174972,2.404,0.701,0.697,99.42938659058488,1647.0,5.219241313833333,,,,1646,-0.007000000000000006
Cell_1,63,1.5165799507995084,2.404,0.69,0.685,99.27536231884059,1630.0,5.128974553583333,,,,1626,-0.0119999999999999
Cell_1,64,1.5099600371747217,2.404,0.682,0.677,99.26686217008798,1618.0,5.068460785777778,,,,1614,-0.008000000000000007
Cell_1,65,1.501953894080997,2.404,0.675,0.669,99.1111111111111,1608.0,5.01463727263889,,,,1605,-0.008000000000000007
Cell_1,66,1.5070400500625787,2.404,0.671,0.665,99.10581222056632,1601.0,4.988952194944445,,,,1598,-0.0040000000000000036
Cell_1,67,1.4892815873015877,2.404,0.656,0.651,99.23780487804879,1580.0,4.882551125805556,,,,1575,-0.014000000000000012
Cell_1,68,1.4811886611146705,2.404,0.646,0.641,99.22600619195046,1564.0,4.802983755944445,,,,1561,-0.010000000000000009
Cell_1,69,1.4756544637122675,2.404,0.64,0.635,99.21875,1555.0,4.7522140305,,,,1557,-0.006000000000000005
Cell_1,70,1.4703049254698641,2.404,0.633,0.628,99.21011058451816,1545.0,4.698010672666667,,,,1543,-0.007000000000000006
Cell_1,71,1.4627286366601437,2.404,0.623,0.62,99.51845906902086,1532.0,4.622393428444445,,,,1533,-0.008000000000000007
Cell_1,72,1.450689609530113,2.404,0.613,0.609,99.34747145187602,1516.0,4.5521305621111114,,,,1511,-0.01100000000000001
Cell_1,73,1.4456120689655179,2.404,0.607,0.602,99.17627677100495,1505.0,4.506721161222222,,,,1508,-0.007000000000000006
Cell_1,74,1.4349989926124922,2.404,0.598,0.594,99.33110367892976,1493.0,4.441187919472222,,,,1489,-0.008000000000000007
Cell_1,75,1.4345211267605635,2.404,0.595,0.59,99.15966386554622,1488.0,4.416640495138889,,,,1491,-0.0040000000000000036
Cell_1,76,1.4247567750677512,2.404,0.589,0.585,99.32088285229203,1480.0,4.381979809583333,,,,1476,-0.0050000000000000044
Cell_1,77,1.4200754781420768,2.404,0.582,0.579,99.48453608247422,1470.0,4.326003230638889,,,,1464,-0.006000000000000005
Cell_1,78,1.4123539518900345,2.404,0.575,0.571,99.30434782608695,1459.0,4.261308154388889,,,,1455,-0.008000000000000007
Cell_1,79,1.4044755927475596,2.404,0.563,0.559,99.28952042628777,1440.0,4.17956589025,,,,1434,-0.0119999999999999
Cell_1,80,1.3948024561403516,2.404,0.561,0.557,99.28698752228165,1438.0,4.160317933472223,,,,1425,-0.0020000000000000018
Cell_1,81,1.389128793225124,2.404,0.552,0.549,99.45652173913044,1424.0,4.094347914805556,,,,1417,-0.008000000000000007
Cell_1,82,1.390029202279203,2.404,0.548,0.544,99.27007299270073,1418.0,4.065482964027778,,,,1404,-0.0050000000000000044
Cell_1,83,1.3768986291486294,2.404,0.536,0.533,99.44029850746269,1401.0,3.980312337555556,,,,1386,-0.01100000000000001
Cell_1,84,1.3731877729257647,2.404,0.531,0.528,99.43502824858757,1393.0,3.9244076756388893,,,,1374,-0.0050000000000000044
Cell_1,85,1.3729385394070863,2.404,0.532,0.528,99.24812030075188,1394.0,3.9501239472777776,,,,1383,0.0
Cell_1,86,1.3666204379562048,2.404,0.524,0.52,99.23664122137404,1382.0,3.8894216380555555,,,,1370,-0.008000000000000007
Cell_1,87,1.344812867647059,2.404,0.519,0.516,99.42196531791907,1376.0,3.8460563648611115,,,,1360,-0.0040000000000000036
Cell_1,88,1.3583040740740744,2.404,0.514,0.51,99.22178988326849,1368.0,3.8102108592499997,,,,1350,-0.006000000000000005
Cell_1,89,1.3395409836065575,2.404,0.507,0.504,99.40828402366864,1357.0,3.7543993753611113,,,,1342,-0.006000000000000005
Cell_1,90,1.338019402985075,2.404,0.503,0.501,99.60238568588468,1352.0,3.7347266039444444,,,,1340,-0.0030000000000000027
Cell_1,91,1.338084720121029,2.404,0.494,0.491,99.39271255060729,1338.0,3.6642958665833336,,,,1322,-0.010000000000000009
Cell_1,92,1.3222947169811323,2.404,0.497,0.494,99.3963782696177,1343.0,3.681997713777778,,,,1325,0.0030000000000000027
Cell_1,93,1.3230626423690208,2.404,0.491,0.487,99.18533604887983,1335.0,3.6359450997777785,,,,1317,-0.007000000000000006
Cell_1,94,1.3159482361963193,2.404,0.483,0.479,99.17184265010351,1321.0,3.5756193946111114,,,,1304,-0.008000000000000007
Cell_1,95,1.3018136574074075,2.404,0.48,0.477,99.375,1317.0,3.5543810015833337,,,,1296,-0.0020000000000000018
Cell_1,96,1.3061999223602487,2.404,0.473,0.47,99.36575052854123,1307.0,3.51453620925,,,,1288,-0.007000000000000006
Cell_1,97,1.296287607170694,2.404,0.468,0.465,99.35897435897436,1299.0,3.469621199444445,,,,1283,-0.004999999999999949
Cell_1,98,1.2772566823899376,2.404,0.461,0.459,99.56616052060737,1290.0,3.4248842436944447,,,,1272,-0.006000000000000005
Cell_1,99,1.2763152866242042,2.404,0.456,0.453,99.3421052631579,1281.0,3.375400155027778,,,,1256,-0.006000000000000005
Cell_2,3,2.5360109945027483,3.6025,1.429,1.418,99.23023093072078,2024.0,10.630030550222221,,,,2001,-0.039000000000000146
Cell_2,4,2.525988972431077,3.6025,1.421,1.411,99.29627023223082,2016.0,10.574148395027777,,,,1995,-0.006999999999999895
Cell_2,5,2.50285772984078,3.6025,1.374,1.36,98.98107714701601,1967.0,10.20112367886111,,,,1947,-0.050999999999999934
Cell_2,6,2.4903116615067074,3.6025,1.351,1.341,99.25980754996299,1947.0,10.057269546583333,,,,1938,-0.019000000000000128
Cell_2,7,2.4843216892596454,3.6025,1.344,1.333,99.1815476190476,1939.0,9.987203558055555,,,,1918,-0.008000000000000007
Cell_2,8,2.447245166487647,3.6025,1.288,1.276,99.06832298136646,1882.0,9.560372499361112,,,,1862,-0.05699999999999994
Cell_2,9,2.441363098440021,3.6025,1.275,1.263,99.05882352941177,1870.0,9.480247563138889,,,,1859,-0.013000000000000123
Cell_2,10,2.417687740516767,3.6025,1.234,1.223,99.10858995137765,1829.0,9.159461679361112,,,,1819,-0.039999999999999813
Cell_2,11,2.404597736057426,3.6025,1.221,1.209,99.01719901719902,1816.0,9.057975267916666,,,,1811,-0.014000000000000012
Cell_2,12,2.376016220830962,3.6025,1.174,1.162,98.9778534923339,1769.0,8.707975217194445,,,,1757,-0.04700000000000015
Cell_2,13,2.3617010398613516,3.6025,1.148,1.136,98.95470383275261,1743.0,8.520865074027778,,,,1731,-0.026000000000000023
Cell_2,14,2.344204373177842,3.6015,1.135,1.124,99.0308370044053,1730.0,8.396777012444444,,,,1715,-0.011999999999999789
Cell_2,15,2.3215823389021475,3.6025,1.107,1.093,98.73532068654019,1700.0,8.19540646061111,,,,1676,-0.03100000000000014
Cell_2,16,2.306658227848101,3.6025,1.073,1.063,99.06803355079217,1668.0,7.953584316111111,,,,1659,-0.030000000000000027
Cell_2,17,2.288882496940024,3.6025,1.053,1.042,98.9553656220323,1649.0,7.795473830138889,,,,1634,-0.020999999999999908
Cell_2,18,2.264792423293675,3.6015,1.025,1.01,98.53658536585367,1618.0,7.576742857166666,,,,1597,-0.03200000000000003
Cell_2,19,2.2344576972010177,3.6025,0.984,0.974,98.98373983739837,1579.0,7.28255949261111,,,,1572,-0.03600000000000003
Cell_2,20,2.2209462676962675,3.6025,0.971,0.962,99.07312049433573,1567.0,7.184700565583333,,,,1554,-0.01200000000000001
Cell_2,21,2.205654196486662,3.6025,0.959,0.947,98.74869655891554,1554.0,7.097060018277778,,,,1537,-0.015000000000000013
Cell_2,22,2.1842570770243577,3.6025,0.934,0.922,98.7152034261242,1529.0,6.9023639965,,,,1519,-0.02499999999999991
