cell_id,Cycle,Q_measured,Q_exp_fit,Q_sqrt_fit
Cell_1,38.0,1.034,1.0313982681477303,1.0334414006588395
Cell_1,39.0,1.015,1.0163480718843008,1.0197662330073276
Cell_1,40.0,0.998,1.0015189534727922,1.006265292657885
Cell_1,41.0,0.983,0.9869076654195666,0.9929320853905959
Cell_1,42.0,0.968,0.9725110079346115,0.9797605106790896
Cell_1,43.0,0.949,0.9583258282308034,0.9667448290661391
Cell_1,44.0,0.935,0.9443490198334643,0.9538796329350221
Cell_1,45.0,0.921,0.9305775219000626,0.9411598202543909
Cell_1,46.0,0.895,0.9170083185499046,0.9285805709350712
Cell_1,47.0,0.88,0.9036384382036747,0.9161373254880594
Cell_1,48.0,0.866,0.8904649529326746,0.9038257657157507
Cell_1,49.0,0.861,0.877484977817625,0.8916417972045427
Cell_1,50.0,0.84,0.864695670316884,0.8795815334175767
Cell_1,51.0,0.823,0.8520942296439455,0.8676412812124155
Cell_1,52.0,0.812,0.8396778961540842,0.8558175276306876
Cell_1,53.0,0.798,0.8274439507400076,0.844106927825766
Cell_1,54.0,0.786,0.8153897142363878,0.8325062940109029
Cell_1,55.0,0.773,0.8035125468331386,0.8210125853243295
Cell_1,56.0,0.76,0.7918098474973121,0.8096228985200205
Cell_1,57.0,0.75,0.7802790534034874,0.7983344594033626
Cell_1,58.0,0.733,0.7689176393725259,0.7871446149401526
Cell_1,59.0,0.725,0.7577231173185716,0.7760508259753265
Cell_1,60.0,0.714,0.7466930357041736,0.7650506605048097
Cell_1,61.0,0.704,0.7358249790034139,0.7541417874499867
Cell_1,62.0,0.697,0.7251165671729206,0.7433219708896379
Cell_1,63.0,0.685,0.7145654551306513,0.7325890647089279
Cell_1,64.0,0.677,0.7041693322423341,0.7219410076291615
Cell_1,65.0,0.669,0.6939259218154509,0.7113758185857124
Cell_1,66.0,0.665,0.6838329806006551,0.7008915924247683
Cell_1,67.0,0.651,0.6738882983005123,0.6904864958924211
Cell_1,68.0,0.641,0.6640896970854576,0.6801587638921849
Cell_1,69.0,0.635,0.6544350311168632,0.6699066959893107
Cell_1,70.0,0.628,0.6449221860771117,0.659728653142291
Cell_1,71.0,0.62,0.6355490787065728,0.6496230546437638
Cell_1,72.0,0.609,0.6263136563473809,0.6395883752546503
Cell_1,73.0,0.602,0.6172138964939139,0.629623142516812
Cell_1,74.0,0.594,0.6082478063498773,0.6197259342308254
Cell_1,75.0,0.59,0.5994134223918913,0.6098953760866355
Cell_1,76.0,0.585,0.5907088099394917,0.6001301394359164
Cell_1,77.0,0.579,0.5821320627314448,0.5904289391959168
Cell_1,78.0,0.571,0.5736813025082873,0.5807905318754227
Cell_1,79.0,0.559,0.5653546786009978,0.5712137137142606
Cell_1,80.0,0.557,0.557150367525711,0.5616973189284509
Cell_1,81.0,0.549,0.5490665725843847,0.5522402180537802
Cell_1,82.0,0.544,0.541101523471333,0.542841316381119
Cell_1,83.0,0.533,0.5332534758855394,0.5334995524773574
Cell_1,84.0,0.528,0.525520711148665,0.5242138967862966
Cell_1,85.0,0.528,0.5179015358286669,0.5149833503042789
Cell_1,86.0,0.52,0.5103942813689467,0.5058069433257315
Cell_1,87.0,0.516,0.5029973037229456,0.4966837342541677
Cell_1,88.0,0.51,0.4957089829941075,0.48761280847451594
Cell_1,89.0,0.504,0.488527723081131,0.4785932772829571
Cell_1,90.0,0.501,0.4814519513284323,0.46962427687072217
Cell_1,91.0,0.491,0.47448011818174163,0.46070496735856836
Cell_1,92.0,0.494,0.46761069684876033,0.4518345318788679
Cell_1,93.0,0.487,0.46084218296480184,0.44301217570248097
Cell_1,94.0,0.479,0.4541730942633439,0.43423712540776616
Cell_1,95.0,0.477,0.4476019702514209,0.4255086280892699
Cell_1,96.0,0.47,0.4411273718897841,0.41682595060380034
Cell_1,97.0,0.465,0.43474788127775976,0.40818837885175907
Cell_1,98.0,0.459,0.42846210134273727,0.3995952170917232
Cell_1,99.0,0.453,0.42226865553421755,0.3910457872864277
Cell_2,3.0,1.418,1.4493369082637524,1.3538224558603413
Cell_2,4.0,1.411,1.41338898234441,1.3153512477605378
